brand;sku;name;priceIncl;stockLevel;skip;skip;articleCode;skip;skip
WIFILINK;AD-SMAJRP-TNCPRP;WIFI-Link WL-AD-SMAPRP-TNCJRP;0;3;8;;WLADAP;WIANTACC;Wireless Antenne Accessoires
WIFILINK;N-023-1DGN;Adapter N female - N female;0;2.95;5;;WLADNJJ;WIANTACC;Wireless Antenne Accessoires
WIFILINK;WL-N-1-200;WIFI-Link WL-N-1-200  / 10 pcs;0;28;1;;WLNCMLLC200;WIANTACC;Wireless Antenne Accessoires
WIFILINK;WL-N-1-400;WIFI-Link WL-N-1-400;0;25.6;54;;WLNCMLLC400;WIANTACC;Wireless Antenne Accessoires
WIFILINK;WL-SMA-1-RP200;WIFI-Link WL-SMA-1-RP200 / 10pcs;0;23.2;7;;WLWLRP200;WIANTACC;Wireless Antenne Accessoires
WIFILINK;WL-SMA-1-RP400;WIFI-Link WL-SMA-1-RP400;0;28;9;;WLWLRP400;WIANTACC;Wireless Antenne Accessoires
DCN;DCS-1024;DCN DCS-1024;0;15;24;;DCS1024;SWUN100;Switching Unmanaged Switches 10/100
DCN;DCS-1026;DCN DCS-1026;0;17;15;;DCS1026;SWUN100;Switching Unmanaged Switches 10/100
DCN;DCS-1064;DCN DCS-1064;0;58;30;;DCS1064;SWUN100;Switching Unmanaged Switches 10/100
DCN;DCS-3950-28C;DCN DCS-3950-28C;0;75;1;;DCS3950-28C;SWML2100;Switching Managed L2 10/100
DCN;DCS-3950-52C;DCN DCS-3950-52C;0;260;12;;DCS3950-52C;SWML2100;Switching Managed L2 10/100
DCN;DCRS-5200-28;DCN DCRS-5200-28;0;140;8;;DCRS5200-28;SWML3100;Switching Managed L3 10/100
DCN;DCRS-5200-52;DCN DCRS-5200-52;0;280;9;;DCRS5200-52;SWML3100;Switching Managed L3 10/100
DCN;DCRS-5650-28C;DCN DCRS-5650-28C;0;175;3;;DCRS5650-28C;SWML3100;Switching Managed L3 10/100
DCN;DCRS-5650-28CT;DCN DCRS-5650-28CT;0;175;12;;DCRS5650-28CT;SWML3100;Switching Managed L3 10/100
DCN;DCRS-5650-52CT;DCN DCRS-5650-52CT;0;325;8;;DCRS5650-52CT;SWML3100;Switching Managed L3 10/100
DCN;MRS-5950-1XFP;DCN MRS-5950-1XFP;0;243.75;2;;DCMRS5950-1XFP;SWML310G;Switching Managed L3 10G Switches
DCN;DCRS-5950-26;DCN DCRS-5950-26;0;1250;12;;DCRSS5950-26;SWFI10G;Switching Fiber Switches 10G
DCN;MRS-5950-XLK;DCN MRS-5950-XLK;0;82.5;2;;DCMRS5950-XLK;SWML310G;Switching Managed L3 10G Switches
DCN;DCRS-7604E;DCN DCRS-7604 (E);0;1250;2;;DCRS7604E;SWCHCH;Switching Chassis
DCN;DCRS-7608;DCN DCRS-7608 (R3);0;2000;1;;DCRS7608;SWCHCH;Switching Chassis
DCN;MRE-7604X;DCN MRS-7600-4XFP (E);0;2391;2;;DCMRS7600-4EXFP;SWCHSK;Switching Chassis Switchkaarten
DCN;MRE-7604M1;DCN MRS-7604-M1XFP12GX12GT (E);0;1772;2;;DCMRS7604-M1;SWCHMC;Switching Chassis Management Cards
DCN;MRS-7600-48GT;DCN MRS-7600-48GT (R3);0;3510;2;;DCMRS7600-48GT;SWCHSK;Switching Chassis Switchkaarten
DCN;MRS-7600-2XFP;DCN MRS-7600-2XFP8GX16GB (R3);0;2696;3;;DCMRS7600-2XFP;SWCHSK;Switching Chassis Switchkaarten
DCN;MRS-7604-M4;DCN MRS-7604-M44GT (R3);0;2868;2;;DCMRS7604M44;SWCHMC;Switching Chassis Management Cards
DCN;53002686;DCN MRS-7608-MI (R3);0;1712;1;;DCMRS7608MI;SWCHMC;Switching Chassis Management Cards
DCN;MRS-PWR-A1-AC;DCN MRS-PWR-A1-AC (E);0;599;2;;DCPWRA1ACE;SWCHPSU;Switching Chassis PSU's
DCN;MRS-PWR-B1-AC;DCN MRS-PWR-B1-AC (R3);0;677;2;;DCPWRB1AC;SWCHPSU;Switching Chassis PSU's
DCN;610502GSFPLH120;DCN SFP-LH-120;0;80;16;;DCSFPLH120;FIMODGIG;Fiber Modules SFP (Gigabit)
DCN;610502GSFPLX20;DCN SFP 20KM 1310nm;0;40;0;;DCSFPLX20;FIMODGIG;Fiber Modules SFP (Gigabit)
DCN;DCN SFP-LX-40;DCN SFP 40KM 1310nm;0;60;46;;DCSFPLX40;FIMODGIG;Fiber Modules SFP (Gigabit)
TPLINK;TL-SF1005D;*TP-Link SF1005D;0;7;15;;TPSF1005D;SWUN100;Switching Unmanaged Switches 10/100
TPLINK;TL-PoE150S;*TP-Link PoE150S;0;18.5;1;;TPPOE150S;NETPA;PoE Adapters
TPLINK;TL-SF1008P;* TP-Link SF1008P;0;50.78;7;;TPSF1008P;SWPUN100;Switching PoE Switches Unmanged 10/100
TPLINK;MC220L;*TP-Link MC220L;0;21.25;9;;TPMC220L;FIMCGIG;Fiber Media Converter Gigabit
BRICKCOM;CI-808;Brickcom CI-808 op=op;0;30;1;;BRCI0808;SUACC;Camerabewaking Accessoires
BRICKCOM;CI-812;Brickcom CI-812;0;53.75;2;;BRCI0812;SUACC;Camerabewaking Accessoires
BRICKCOM;GEM07-15072A;Brickcom GEM07-15072A;0;53.75;3;;BRAN001;SUBULTE;Camerabewaking Bullet 3G/4G
BRICKCOM;D77H03-WST1;Brickcom D77H03-WST1 op=op;0;32;5;;BRD77H03WST1;SUACC;Camerabewaking Accessoires
BRICKCOM;D77H05-WWBM;Brickcom D77H05-WWBM op=op;0;64.5;3;;BRD77H05WWBM;SUACC;Camerabewaking Accessoires
BRICKCOM;D77H05-WPTB;Brickcom D77H05-WPTB op=op;0;49;1;;BR77G05WPTB;SUACC;Camerabewaking Accessoires
BRICKCOM;D77H07-EPB23;Brickcom PSU D77H07-EPB23 op=op;0;80.5;1;;BRVOD77H07;SUPTZ;Camerabewaking PTZ
SURSUP;YV10X5HR4A-2;Fujinon YV10X5HR4A-2;0;78.82;10;;FULENS0001;SUBOLENS;Camerabewaking Lenzen
SURSUP;YV10X5HR4A-SA2L;Fujinon YV10X5HR4A-SA2L;0;128.07;1;;FULENS0002;SUBOLENS;Camerabewaking Lenzen
BRICKCOM;OSD-040E;Brickcom OSD-040E 36xp-59 op=op;0;250;2;;BROSD040E;SUPTZ;Camerabewaking PTZ
BRICKCOM;VS01-AP;Brickcom VS-01Ap op=op;0;75;1;;BRVS01AP;SUACC;Camerabewaking Accessoires
THECUS;NVR22N;Thecus NVR-42N op=op;0;199;2;;THNVR42N;UitVerk;Uitverkoop
THECUS;N8900;Thecus NAS N8900;0;2104.5;1;;THN8900;STNAT12B;"Storage NAS Rack 19"" tot 12 bay"
ZyXEL;91-996-038001B;ZyXEL E-iCard IPsec VPN Client 1;62.36;46.77;0;;ZYEIVPNC1;SECLIIPS;Firewall IP SEC Licenties
ENGENIUS;ECB350;EnGenius ECB350;0;87;19;;ENECB350;WIAPIN;Wireless Accesspoints Indoor
GIGASET;S30853H601R117;Gigaset DECT Repeater 2.0;0;109;6;;GIDECTREP;TEDEACC;Telecom DECT Accessoires
GIGASET;S30853-H3100-M101;Gigaset DX800A;0;160.88;2;;GIDX800A;TEBUGI;Telecom Gigaset
GIGASET;S30852H2234M101;Gigaset N300A IP;0;39;18;;GIN300AIP;TEDEGI;Telecom DECT Gigaset
JABRA;1000-04;Jabra GN1000;60;37.9;6;;JAGN1000;TEHEACC;Telecom Headsets Accessoires
JABRA;8800-01-37;Jabra 8800-01-37, aansluitkabel;21;13.26;5;;JAKAQDRJ10KRU;TEHEACC;Telecom Headsets Accessoires
ZyXEL;ES1100-16P-EU0102F;ZyXEL ES-1100-16P v2;158.21;118.66;6;;ZYES1100-16PV2;SWPUN100;Switching PoE Switches Unmanged 10/100
ZyXEL;ES1100-8P-EU0102F;ZyXEL ES-1100-8P v2;85.95;64.46;8;;ZYES1100-8PV2;SWPUN100;Switching PoE Switches Unmanged 10/100
ZyXEL;USG100-CC1-ZZ0101F;ZyXEL E-iCard Cyren CF, 1 jaar USG100;177.44;124.21;0;;ZYEIUSG100CCF1;SECLI100;Firewall USG 100
ZyXEL;USG200-CC1-ZZ0101F;ZyXEL E-iCard Cyren CF, 1 jaar USG200;267.12;186.98;0;;ZYEIUSG200CCF1;SECLI200;Firewall USG 200
ZyXEL;USG20-CC1-ZZ0101F;ZyXEL E-iCard Cyren CF, 1 jaar USG20;53.42;37.4;0;;ZYEIUSG20CCF1;SECLI20;Firewall USG 20
