EAN code	Vendorcode	Vendor SKU	Brand	Name	SRP price ex. VAT EUR	Your price ex. VAT EUR	Stock
0763649117347	ST12000VN0007	RSH-4754	Seagate	Seagate 12TB Guardian IronWolf NAS (ST12000VN0007)	329.34	327.29	11
0763649103210	ST12000NE0007	RSH-4797	Seagate	Seagate 12TB Guardian IronWolf Pro NAS (ST12000NE0007)	391.74	387.91	0
7636490045820	ST800FM0053	RSH-5120	Seagate	800GB Seagate 1200 SSD SAS 12Gb/s 2.5 inch MLC ST800FM0053	2471.07	906.02	3
4044951008780	AZZ#68	RSH-0424	Sharkoon	Sharkoon QuickProtect 3,5 inch	5.74	4.48	68
4044951009909	FPUS10	RSH-0627	Sharkoon	Sharkoon 4044951009909	11.53	9.72	0
4044951011261	T2US33	RSH-0958	Sharkoon	Sharkoon Quickstore Portable Pro USB3.0 Zwart	14.46	13.50	0
4044951006403	RDUA06	RSH-0117	Sharkoon	Sharkoon DriveLink	24.79	19.98	6
4044951014057	RDUA520	RSH-0776	Sharkoon	Sharkoon SATA QuickPort XT USB3.0	24.79	20.50	26
4044951020089	RDUA78	RSH-4800	Sharkoon	Sharkoon QuickPort XT HC Pro	28.09	23.76	3
4044951017416	T2US35	RSH-3318	Sharkoon	Sharkoon QuickStore Portable USB 3.1	28.92	23.76	10
4044951013760	RDUA73	RSH-2911	Sharkoon	Sharkoon DriveLink Combo USB3.0	33.05	28.01	4
4044951017201	FPUS11	RSH-3317	Sharkoon	Sharkoon USB 3.1 Host Controller Card	33.05	22.50	13
4044951016815	RDUA56	RSH-3118	Sharkoon	Sharkoon Quickport XT Duo Clone	37.18	31.86	7
4044951017652		RSH-3787	Sharkoon	Sharkoon SATA QuickPort USB 3.1 Type C	41.31	34.72	7
4044951018970		RSH-4855	Sharkoon	Sharkoon QuickPort Duo Clone USB 3.1 Type C	41.53	33.75	2
4044951010066	RDUA40	RSH-0518	Sharkoon	Sharkoon SATA QuickPort Duo USB3.0	45.37	36.72	5
4044951011797	RDUA42	RSH-1984	Sharkoon	Sharkoon QuickPort Combo USB3.0	49.50	38.88	7
4711174720507	2.5HD B	RSH-0374	Synology	Synology 2,5"" HDD Houder TYPE B voor 2BAY DS	7.14	6.78	14
4711174720514	DiskHolder C	RSH-0473	Synology	Synology 2,5"" HDD Houder TYPE C	7.14	6.78	14
4711174720491	2.5HD A	RSH-0373	Synology	Synology 2,5"" HDD Houder TYPE A voor 1BAY DS	7.14	6.79	7
4711174721740	RKM114	RSH-1928	Synology	Synology RKM114 Railkit Fixed 1U	30.00	28.50	10
4711174721917	RAMEC1600DDR3-2GBX2	RSH-2699	Synology	Synology EC1600 DRAM Module 4GB (2GB X 2) RAMEC1600DDR3-2GBX2	52.00	49.40	0
4711174722945	D3NS1866L-4G	RSH-4679	Synology	Synology D3NS1866L-4G	62.00	58.90	48
4711174723041	D4N2133-4G	RSH-4872	Synology	Synology Non-ECC UDIMM RAM Module 4GB D4N2133-4G	67.00	63.65	8
4711174722488	RKS1317	RSH-4058	Synology	Synology RKS1317	69.00	65.55	25
4711174721900	RAM1600DDR3-4GB	RSH-2733	Synology	Synology 4GB DDR3 RAM1600 Module RAM1600DDR3-4GB	70.00	66.50	11
4711174723034	D4NS2133-4G	RSH-5139	Synology	Synology RAM Module D4NS2133-4G	76.00	72.20	7
4711174721931	E10G15-F1	RSH-2731	Synology	Synology E10G15-F1 10Gbps SFP+ Ethernet Adapter	114.88	109.13	1
4711174722860	M2D17	RSH-4483	Synology	Synology M2D17 PCIe Gen2 x8 adapter kaart	123.00	116.85	8
4711174721870	RAMEC1600DDR3-4GBX2	RSH-2700	Synology	Synology EC1600 DRAM Module 8GB (4GB X 2) RAMEC1600DDR3-4GBX2	133.00	126.35	0
4711174722877	RAM1600DDR3L-4GBx2	RSH-4482	Synology	Synology DDR3 RAM Module 8GB (4GB x 2) RAM1600DDR3L-4GBX2	140.00	133.00	5
4711174722419	RAMEC2133DDR4-8GB	RSH-4097	Synology	Synology RAM Module 8GB RAMEC2133DDR4-8GB	188.00	178.60	3
4711174722471	E10G17-F2	RSH-4098	Synology	Synology E10G17-F2	225.00	213.75	5
4711174722785	RAM1600DDR3L-8GBx2	RSH-4481	Synology	Synology DDR3 RAM Module 16GB (8GB x 2) RAM1600DDR3L-8GBX2	267.00	253.65	4
4711174722518	RAMEC2133DDR4SO-16GB	RSH-4314	Synology	Synology RAMEC2133DDR4SO-16GB	330.00	313.50	4
4711174721887	RAMEC1600DDR3-8GBX2	RSH-2701	Synology	Synology EC1600 DRAM Module 16GB (8GB X 2) RAMEC1600DDR3-8GBX2	340.00	323.00	0
4711174722426	RAMEC2133DDR4-16GB	RSH-4096	Synology	Synology RAM Module 16GB RAMEC2133DDR4-16GB	341.00	323.95	6
4711174722433	RAMRG2133DDR4-16GB	RSH-4315	Synology	Synology RAMRG2133DDR4-16GB	343.00	325.85	0
4711174722440	RAMRG2133DDR4-32GB	RSH-4316	Synology	Synology RAMRG2133DDR4-32GB	610.00	579.50	0
4711174722907	RS2818RP+	RSH-4871	Synology	Synology RS2818RP+	2380.00	2261.00	2
4711174721474	EDS14	RSH-2367	Synology	Synology EDS14	220.00	207.68	2
4711174722778	DS3018xs	RSH-4677	Synology	Synology DS3018xs	1190.00	1123.36	6
4711174722792	FS1018	RSH-4849	Synology	Synology FS1018	1317.00	1243.25	5
4711174722464	DS3617XS	RSH-4266	Synology	Synology DS3617xs	2100.00	1982.40	5
4711174722532	RX1217sas	RSH-4322	Synology	Synology RX1217sas	2160.00	2039.04	0
4711174722020	RX1216sas	RSH-3349	Synology	Synology RX1216sas	2160.33	2039.35	0
4711174723058	RS3618xs	RSH-4998	Synology	Synology RS3618xs	2332.00	2201.41	1
4711174721955	RXD1215sas	RSH-3329	Synology	Synology RXD1215sas (12x SAS, RAID, 5x 2Gbps) Expansion Unit	2600.00	2454.40	1
4711174722549	RX2417sas	RSH-4323	Synology	Synology RX2417sas	2600.00	2454.40	0
4711174722228	RS3617RPxs	RSH-4094	Synology	Synology RS3617RPxs	2775.00	2619.60	1
4711174721948	RC18015xs+	RSH-3328	Synology	Synology RC18015xs+ (RAID, 5x 2Gbps) RackStation	2891.74	2729.80	2
